name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_dri_bof_coal_external,steel_plant,dri_plant,Saarland,min_variable_cost,,coal,29.121579,0,29.121579,29.121579,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120423_dri_bof_coal_external,steel_plant,bof,Saarland,,,,16.178655,0,16.178655,16.178655,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120426_dri_bof_coal_external,steel_plant,dri_plant,Bremen,min_variable_cost,,coal,41.783135,0,41.783135,41.783135,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120426_dri_bof_coal_external,steel_plant,bof,Bremen,,,,23.212853,0,23.212853,23.212853,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120428_dri_bof_coal_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,coal,13.716686,0,13.716686,13.716686,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120428_dri_bof_coal_external,steel_plant,bof,North Rhine-Westphalia,,,,7.620381,0,7.620381,7.620381,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120425_dri_bof_coal_external,steel_plant,dri_plant,Brandenburg,min_variable_cost,,coal,25.323112,0,25.323112,25.323112,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120425_dri_bof_coal_external,steel_plant,bof,Brandenburg,,,,14.068396,0,14.068396,14.068396,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120427_dri_bof_coal_external,steel_plant,dri_plant,Hamburg,min_variable_cost,,coal,11.606426,0,11.606426,11.606426,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120427_dri_bof_coal_external,steel_plant,bof,Hamburg,,,,6.448015,0,6.448015,6.448015,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120422_dri_bof_coal_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,coal,44.315446,0,44.315446,44.315446,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120422_dri_bof_coal_external,steel_plant,bof,North Rhine-Westphalia,,,,24.619692,0,24.619692,24.619692,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120432_dri_bof_coal_external,steel_plant,dri_plant,Saarland,min_variable_cost,,coal,28.488501,0,28.488501,28.488501,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120432_dri_bof_coal_external,steel_plant,bof,Saarland,,,,15.826945,0,15.826945,15.826945,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120424_dri_bof_coal_external,steel_plant,dri_plant,Lower Saxony,min_variable_cost,,coal,54.866743,0,54.866743,54.866743,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120424_dri_bof_coal_external,steel_plant,bof,Lower Saxony,,,,30.481524,0,30.481524,30.481524,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120421_dri_bof_coal_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,coal,94.96167,0,94.96167,94.96167,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120421_dri_bof_coal_external,steel_plant,bof,North Rhine-Westphalia,,,,52.756483,0,52.756483,52.756483,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
